Date,Open,High,Low,Close,Volume
2019-09-16,193,197,193,197,85
2019-09-23,197,197,193.1999969482422,193.1999969482422,1290
2019-09-30,193.6999969482422,194.1999969482422,193.6999969482422,194.1999969482422,40
2019-10-07,193.60000610351562,194,192.60000610351562,194,38370
2019-10-14,194,195,194,194.1999969482422,9000
2019-10-21,195,195,194.39999389648438,195,145
2019-10-28,195,195,194.39999389648438,194.60000610351562,55140
2019-11-04,194.60000610351562,194.8000030517578,194.39999389648438,194.39999389648438,17490
2019-11-11,194.39999389648438,196,194,195.39999389648438,67560
2019-11-18,196,196,194,195.8000030517578,1215
2019-11-25,195.8000030517578,195.8000030517578,195.1999969482422,195.1999969482422,5
2019-12-02,195.1999969482422,196,195.1999969482422,196,1835
2019-12-09,196,197.1999969482422,195.8000030517578,196.39999389648438,2255
2019-12-16,196.39999389648438,196.39999389648438,196,196,1000
2019-12-23,196,196,196,196,0
2019-12-30,196,196,196,196,0
2020-01-06,196.39999389648438,199,196.39999389648438,198.8000030517578,21260
2020-01-13,198.60000610351562,199,197.39999389648438,197.60000610351562,7300
2020-01-20,198.3000030517578,199.8000030517578,198.3000030517578,198.39999389648438,30695
2020-01-27,198.39999389648438,202.39999389648438,198.39999389648438,200,20185
2020-02-03,198.39999389648438,199,197,198.6999969482422,60
2020-02-10,201.60000610351562,201.60000610351562,201.60000610351562,201.60000610351562,235
2020-02-17,201.60000610351562,201.8000030517578,201,201.8000030517578,45
2020-02-24,199.6999969482422,199.6999969482422,198.39999389648438,199.39999389648438,18500
2020-03-02,199.60000610351562,199.60000610351562,199.39999389648438,199.39999389648438,90
2020-03-09,195.39999389648438,198.82000732421875,194,195,49790
2020-03-16,192,194.32000732421875,192,194.32000732421875,32705
2020-03-23,188,191.3000030517578,187.60000610351562,191.3000030517578,30660
2020-03-30,196.05999755859375,196.05999755859375,193,194.8000030517578,35045
2020-04-06,192.1999969482422,195.1999969482422,192.1999969482422,193.8000030517578,14360
2020-04-13,195,196.1999969482422,194,194,5110
2020-04-20,196.39999389648438,197,194,195.6999969482422,28730
2020-04-27,195.1999969482422,196.8000030517578,195,196,59350
2020-05-04,196.8000030517578,197,194.60000610351562,197,27690
2020-05-11,197,197,196,197,2605
2020-05-18,197.39999389648438,197.39999389648438,195,197,1260
2020-05-25,196.22000122070312,197,196.22000122070312,197,105
2020-06-01,196.5,197.1999969482422,195,196.60000610351562,61545
2020-06-08,196.60000610351562,197.1999969482422,196.39999389648438,196.60000610351562,1495
2020-06-15,196.60000610351562,199,196.60000610351562,199,5655
2020-06-22,199.1999969482422,200.60000610351562,197,199.1999969482422,25380
2020-06-29,201,201.1999969482422,198.89999389648438,198.89999389648438,13155
2020-07-06,201.8000030517578,202.39999389648438,198.8000030517578,201.60000610351562,54875
2020-07-13,201,202,200,202,16910
