Date,Open,High,Low,Close,Volume
1986-07-09,10.6875,11.0625,10.5625,7.316573143005371,1116800
1986-07-10,11.0625,11.125,10.6875,7.275002956390381,595600
1986-07-11,10.875,10.9375,10.5625,7.025572776794434,800400
1986-07-14,10.625,10.625,10.125,6.817714214324951,738000
1986-07-15,10.1875,10.1875,9.3125,6.60985803604126,2059200
1986-07-16,9.9375,10.5,9.9375,6.734572410583496,1160400
1986-07-17,10.125,10.25,10,6.776142597198486,1046000
1986-07-18,10.1875,10.34375,10,6.817714214324951,1420000
1986-07-21,10.25,10.3125,10.1875,6.817714214324951,322800
1986-07-22,10.25,10.28125,10.1875,6.776142597198486,390800
1986-07-23,10.25,10.25,10,6.693000793457031,1004000
1986-07-24,10.0625,10.125,9.8125,6.60985803604126,1071600
1986-07-25,9.9375,10.125,9.875,6.693000793457031,688400
1986-07-28,10.0625,10.25,9.96875,6.734572410583496,414800
1986-07-29,10,10.1875,10,6.776142597198486,278400
1986-07-30,10.0625,10.125,9.875,6.734572410583496,459200
1986-07-31,10.125,10.25,10,6.693000793457031,1213600
1986-08-01,10,10.125,9.75,6.485143661499023,1118000
1986-08-04,9.8125,9.8125,9.53125,6.485143661499023,892400
1986-08-05,9.75,9.75,9.5,6.3604326248168945,868800
1986-08-06,9.5625,9.625,9.125,6.069427490234375,550400
1986-08-07,9,9.0625,8.125,5.570571422576904,7560000
1986-08-08,8.4375,8.9375,8.375,5.903145790100098,2802000
1986-08-11,9,9.125,8.875,6.069427490234375,1428000
1986-08-12,9.125,9.4375,9.125,6.235714912414551,1155200
1986-08-13,9.4375,10.09375,9.375,6.443570137023926,865600
1986-08-14,9.75,9.8125,9.375,6.318856239318848,762000
1986-08-15,9.5,9.5,9.1875,6.235714912414551,654400
1986-08-18,9.4375,9.875,9.25,6.443570137023926,606800
1986-08-19,9.75,9.75,9.5,6.3604326248168945,2744000
1986-08-20,9.5625,9.5625,9.375,6.318856239318848,500000
1986-08-21,9.5,9.5625,9.4375,6.277286529541016,353200
1986-08-22,9.5,9.5625,9.375,6.235714912414551,286000
1986-08-25,9.5,9.5,9.125,6.1525702476501465,766400
1986-08-26,9.1875,9.375,9.1875,6.235714912414551,408800
1986-08-27,9.375,9.375,9.1875,6.194143295288086,686400
1986-08-28,9.3125,9.3125,9.125,6.111001014709473,286000
1986-08-29,9.125,9.25,9.0625,6.069427490234375,1128800
1986-09-02,9.1875,9.1875,8.6875,5.82000207901001,916800
1986-09-03,8.75,8.9375,8.6875,5.944716453552246,684400
1986-09-04,9,9.3125,8.875,6.194143295288086,576800
1986-09-05,9.3125,9.4375,9,5.98628568649292,961600
1986-09-08,9.125,9.125,8.625,5.82000207901001,1793200
1986-09-09,8.6875,8.75,8.5,5.7368574142456055,388000
1986-09-10,8.625,8.625,8.5,5.653713226318359,802400
1986-09-11,8.5625,8.5625,7.75,5.279572010040283,6240000
1986-09-12,7.875,7.9375,7.5625,5.071713924407959,2066800
1986-09-15,7.625,7.75,7.4375,5.071713924407959,1746800
1986-09-16,7.5625,7.625,7.3125,4.947000980377197,1547200
1986-09-17,7.5,7.5,7.0625,4.905428409576416,997600
1986-09-18,7.375,8.75,7.375,5.82000207901001,833200
1986-09-19,8.75,8.75,8.1875,5.695284366607666,928000
1986-09-22,8.5625,8.6875,8.375,5.653713226318359,464000
1986-09-23,8.5625,8.5625,8.0625,5.487431049346924,436400
1986-09-24,8.25,8.5625,8.125,5.653713226318359,649600
1986-09-25,8.5,8.5,8.3125,5.529000759124756,305600
1986-09-26,8.3125,8.4375,8.25,5.529000759124756,278400
1986-09-29,8.375,8.375,8.0625,5.487431049346924,724800
1986-09-30,8.1875,8.75,8.1875,5.695284366607666,773200
1986-10-01,8.6875,8.75,8.5625,5.695284366607666,668400
1986-10-02,8.5625,8.625,8.5625,5.695284366607666,592000
1986-10-03,8.625,8.625,8.25,5.570571422576904,228000
1986-10-06,8.5,8.5,8.3125,5.61214542388916,467600
1986-10-07,8.375,8.5,8.375,5.61214542388916,176000
1986-10-08,8.5,8.625,8.4375,5.7368574142456055,558800
1986-10-09,8.625,8.625,8.375,5.61214542388916,243200
1986-10-10,8.4375,8.4375,8.25,5.529000759124756,238400
1986-10-13,8.375,8.375,8.0625,5.362717151641846,362800
1986-10-14,8.0625,8.625,8.0625,5.653713226318359,612000
1986-10-15,8.5625,8.8125,8.5,5.82000207901001,606800
1986-10-16,8.75,8.8125,8.6875,5.7784318923950195,269200
1986-10-17,8.75,8.75,8.4375,5.653713226318359,216000
1986-10-20,8.4375,8.5,8.0625,5.529000759124756,595200
1986-10-21,8.3125,8.3125,8.1875,5.445858955383301,327200
1986-10-22,8.3125,8.3125,8.1875,5.487431049346924,396000
1986-10-23,8.3125,8.3125,8.25,5.508213996887207,1358400
1986-10-24,8.3125,8.375,8.25,5.529000759124756,809600
1986-10-27,8.375,8.375,8.25,5.529000759124756,305200
1986-10-28,8.25,8.5,8.25,5.653713226318359,329200
1986-10-29,8.5,9,8.5,5.903145790100098,835600
1986-10-30,8.875,9.1875,8.8125,6.027858257293701,973200
1986-10-31,9.0625,9.0625,8.875,5.98628568649292,632400
1986-11-03,8.875,9.0625,8.875,5.98628568649292,408800
1986-11-04,8.9375,9.0625,8.9375,5.944716453552246,283200
1986-11-05,9,9,8.875,5.903145790100098,231200
1986-11-06,8.875,8.9375,8.5625,5.861574172973633,434000
1986-11-07,8.8125,8.9375,8.75,5.840785980224609,517200
1986-11-10,8.8125,8.8125,8.625,5.82000207901001,503200
1986-11-11,8.8125,8.9375,8.6875,5.944716453552246,142000
1986-11-12,8.9375,9.03125,8.875,5.965500831604004,669600
1986-11-13,8.9375,9,8.375,5.570571422576904,578800
1986-11-14,8.3125,8.4375,8.1875,5.570571422576904,806000
1986-11-17,8.375,8.4375,8.25,5.570571422576904,734400
1986-11-18,8.4375,8.4375,8.1875,5.487431049346924,605600
1986-11-19,8.3125,8.375,8.1875,5.529000759124756,495600
1986-11-20,8.3125,8.5,8.3125,5.653713226318359,828400
1986-11-21,8.5625,9,8.5,5.944716453552246,666800
1986-11-24,8.8125,9.25,8.8125,6.069427490234375,715600
1986-11-25,9,9.125,8.9375,5.98628568649292,424000
1986-11-26,8.9375,9.0625,8.9375,6.027858257293701,171600
1986-11-28,9.0625,9.0625,8.875,5.98628568649292,236000
1986-12-01,9,9.0625,8.8125,5.903145790100098,596000
1986-12-02,8.9375,8.96875,8.84375,5.944716453552246,845600
1986-12-03,8.875,9.0625,8.875,6.027858257293701,1016800
1986-12-04,9,9.1875,8.8125,5.944716453552246,643200
1986-12-05,8.875,8.9375,8.5,5.695284366607666,636400
1986-12-08,8.5,8.625,8.3125,5.653713226318359,712000
1986-12-09,8.4375,8.5625,8.4375,5.61214542388916,302400
1986-12-10,8.5,8.5,8.3125,5.570571422576904,341200
1986-12-11,8.4375,8.4375,7.9375,5.362717151641846,1172000
1986-12-12,8.1875,8.1875,8.0625,5.362717151641846,332000
1986-12-15,8.0625,8.625,8,5.7368574142456055,768400
1986-12-16,8.5625,8.6875,8.5625,5.7784318923950195,770000
1986-12-17,8.6875,8.75,8.5,5.653713226318359,345200
1986-12-18,8.5,8.625,8.3125,5.61214542388916,349200
1986-12-19,8.4375,8.5,8.375,5.570571422576904,883600
1986-12-22,8.4375,8.625,8.375,5.653713226318359,371600
1986-12-23,8.5625,8.625,8.3125,5.570571422576904,282800
1986-12-24,8.375,8.375,8.3125,5.529000759124756,189200
