Date,Open,High,Low,Close,Volume
1980-01-02,7.046875,7.046875,6.78125,1.2394380569458008,1178400
1980-01-03,6.78125,6.9375,6.6875,1.2422946691513062,2531200
1980-01-04,6.796875,6.90625,6.75,1.2365822792053223,1976800
1980-01-07,6.765625,6.828125,6.765625,1.2365822792053223,1813600
1980-01-08,6.765625,6.84375,6.765625,1.2480051517486572,1138400
1980-01-09,6.828125,6.890625,6.75,1.2365822792053223,2942400
1980-01-10,6.765625,6.796875,6.71875,1.2337266206741333,2179200
1980-01-11,6.75,6.75,6.703125,1.225158929824829,828800
1980-01-14,6.703125,6.75,6.703125,1.225158929824829,1560800
1980-01-15,6.703125,6.75,6.6875,1.2337266206741333,899200
1980-01-16,6.75,7,6.75,1.2394380569458008,2994400
1980-01-17,6.78125,6.875,6.75,1.2422946691513062,1909600
1980-01-18,6.8125,7.125,6.8125,1.30226731300354,2181600
1980-01-21,7.1875,7.4375,7.1875,1.3565279245376587,2758400
1980-01-22,7.421875,7.46875,7.390625,1.3508168458938599,1402400
1980-01-23,7.390625,7.59375,7.390625,1.3765195608139038,1192800
1980-01-24,7.625,7.734375,7.625,1.3965110778808594,1468800
1980-01-25,7.625,7.625,7.515625,1.393654704093933,1364000
1980-01-28,7.625,7.796875,7.53125,1.4165011644363403,1159200
1980-01-29,7.75,7.828125,7.578125,1.3965110778808594,2205600
1980-01-30,7.640625,7.75,7.609375,1.4136453866958618,997600
1980-01-31,7.75,7.9375,7.75,1.4222129583358765,1500000
1980-02-01,7.78125,8,7.703125,1.4621950387954712,1424800
1980-02-04,8,8.09375,7.9375,1.4507715702056885,1905600
1980-02-05,7.9375,7.96875,7.875,1.4564836025238037,1188800
1980-02-06,7.96875,8.5625,7.953125,1.565005898475647,3314400
1980-02-07,8.9375,9.34375,8.9375,1.6621038913726807,6178400
1980-02-08,9.09375,9.4375,9.0625,1.7220768928527832,4455200
1980-02-11,9.40625,9.40625,9.09375,1.6621038913726807,3916000
1980-02-12,9.09375,9.15625,8.8125,1.6678158044815063,2294400
1980-02-13,9.125,9.25,8.921875,1.6335461139678955,2192800
1980-02-14,8.9375,9.109375,8.71875,1.6164103746414185,1524800
1980-02-15,8.8125,8.8125,8.625,1.6106975078582764,1934400
1980-02-19,8.78125,8.78125,8.625,1.5907071828842163,1345600
1980-02-20,8.75,9.3125,8.75,1.6963748931884766,2980800
1980-02-21,9.28125,9.625,9.125,1.6735272407531738,3367200
1980-02-22,9.15625,9.875,9.0625,1.767769455909729,5061600
1980-02-25,9.65625,9.65625,9.4375,1.7506352663040161,2221600
1980-02-26,9.578125,10.0625,9.5,1.8391669988632202,3500800
1980-02-27,10.0625,10.40625,9.875,1.8048964738845825,4957600
1980-02-28,9.875,10.09375,9.875,1.8191776275634766,2096000
1980-02-29,9.953125,10.0625,9.890625,1.8163198232650757,1176800
1980-03-03,9.921875,9.921875,9.796875,1.790618658065796,1950400
1980-03-04,9.796875,10.25,9.71875,1.8591588735580444,2537600
1980-03-05,10.171875,10.625,10.125,1.8505909442901611,2306400
1980-03-06,10.109375,10.109375,9.71875,1.7877626419067383,2226400
1980-03-07,9.71875,9.71875,9.46875,1.7420668601989746,2312800
1980-03-10,9.53125,9.65625,9.375,1.7306452989578247,1666400
1980-03-11,9.5625,9.75,9.5625,1.767769455909729,1999200
1980-03-12,9.671875,9.671875,9.390625,1.767769455909729,1184000
1980-03-13,9.671875,9.71875,9.28125,1.7020865678787231,1729600
1980-03-14,9.3125,9.34375,9.125,1.6792385578155518,1019200
1980-03-17,9.09375,9.09375,8.75,1.6192665100097656,1131200
1980-03-18,8.859375,9.125,8.65625,1.6621038913726807,1938400
1980-03-19,9.09375,9.234375,9.03125,1.6563915014266968,1363200
1980-03-20,9.0625,9.125,8.84375,1.6192665100097656,1300800
1980-03-21,8.828125,8.828125,8.65625,1.5907071828842163,1706400
1980-03-24,8.625,8.625,8.265625,1.5164556503295898,1430400
1980-03-25,8.296875,8.5,8.28125,1.5478700399398804,2153600
1980-03-26,8.46875,8.65625,8.34375,1.527879238128662,1106400
1980-03-27,8.21875,8.21875,7.65625,1.4679065942764282,2516000
1980-03-28,8.03125,8.21875,8.03125,1.487897276878357,1703200
1980-03-31,8.140625,8.234375,8,1.4964653253555298,1265600
1980-04-01,8.1875,8.28125,8.09375,1.4850410223007202,756800
1980-04-02,8.171875,8.40625,8.171875,1.525023102760315,940000
1980-04-03,8.34375,8.34375,8.15625,1.4964653253555298,524000
1980-04-07,8.140625,8.140625,7.78125,1.42507004737854,707200
1980-04-08,7.796875,7.984375,7.75,1.4507715702056885,987200
1980-04-09,7.953125,8.4375,7.953125,1.5307350158691406,1452000
1980-04-10,8.375,8.5,8.3125,1.5535815954208374,1310400
1980-04-11,8.5,8.546875,8.46875,1.5564382076263428,884000
1980-04-14,8.515625,8.5625,8.421875,1.565005898475647,812000
1980-04-15,8.5625,8.703125,8.53125,1.5735725164413452,632000
1980-04-16,8.609375,8.75,8.34375,1.525023102760315,1392000
1980-04-17,8.34375,8.4375,8.265625,1.525023102760315,481600
1980-04-18,8.34375,8.375,8.203125,1.4993215799331665,909600
1980-04-21,8.203125,8.28125,8.078125,1.4936094284057617,671200
1980-04-22,8.4375,8.734375,8.4375,1.587852120399475,1467200
1980-04-23,8.6875,8.796875,8.59375,1.5764286518096924,1158400
1980-04-24,8.625,8.625,8.453125,1.5450137853622437,1533600
1980-04-25,8.453125,8.59375,8.421875,1.5707169771194458,808000
1980-04-28,8.59375,8.796875,8.59375,1.582140326499939,1504000
1980-04-29,8.65625,8.703125,8.59375,1.587852120399475,544800
1980-04-30,8.6875,8.84375,8.625,1.6164103746414185,616800
1980-05-01,8.828125,8.828125,8.625,1.5935640335083008,1099200
1980-05-02,8.71875,8.75,8.65625,1.5907071828842163,1363200
1980-05-05,8.671875,8.671875,8.46875,1.5564382076263428,938400
1980-05-06,8.515625,8.75,8.421875,1.5478700399398804,1316800
1980-05-07,8.46875,8.71875,8.46875,1.5764286518096924,1283200
1980-05-08,8.625,8.625,8.4375,1.5450137853622437,1947200
1980-05-09,8.453125,8.453125,8.15625,1.5107442140579224,1476000
1980-05-12,8.21875,8.21875,8.125,1.4993215799331665,1468800
1980-05-13,8.203125,8.3125,8.0625,1.5135999917984009,1766400
1980-05-14,8.28125,8.34375,8.21875,1.5078881978988647,1878400
1980-05-15,8.25,8.3125,8.1875,1.5078881978988647,896800
1980-05-16,8.25,8.46875,8.234375,1.5421595573425293,716000
1980-05-19,8.4375,8.65625,8.390625,1.562149167060852,556800
1980-05-20,8.546875,8.625,8.53125,1.5735725164413452,894400
1980-05-21,8.609375,8.6875,8.5,1.5764286518096924,496800
1980-05-22,8.65625,8.9375,8.65625,1.622123122215271,965600
1980-05-23,8.875,9,8.875,1.6335461139678955,1186400
1980-05-27,8.9375,9.15625,8.9375,1.6678158044815063,1254400
1980-05-28,9.125,9.46875,9.0625,1.7249327898025513,1963200
1980-05-29,9.4375,9.46875,9.046875,1.6621038913726807,2132000
1980-05-30,9.09375,9.25,8.875,1.6706714630126953,989600
1980-06-02,9.140625,9.3125,9.09375,1.6706714630126953,1422400
1980-06-03,9.140625,9.171875,9.03125,1.6506811380386353,913600
1980-06-04,9.078125,9.3125,9.078125,1.6992305517196655,2198400
1980-06-05,9.296875,9.390625,9.1875,1.6792385578155518,1374400
1980-06-06,9.1875,9.375,9.1875,1.6992305517196655,1065600
1980-06-09,9.328125,9.421875,9.328125,1.7192213535308838,564800
1980-06-10,9.40625,9.6875,9.40625,1.744924545288086,1075200
1980-06-11,9.546875,9.859375,9.53125,1.8020408153533936,1826400
1980-06-12,9.859375,9.96875,9.65625,1.782049298286438,1593600
1980-06-13,9.75,9.78125,9.46875,1.7363560199737549,1104000
1980-06-16,9.5,9.65625,9.484375,1.7477799654006958,622400
1980-06-17,9.5625,9.75,9.515625,1.767769455909729,910400
1980-06-18,9.671875,9.875,9.625,1.8020408153533936,1005600
1980-06-19,9.859375,9.96875,9.6875,1.7706271409988403,1344800
1980-06-20,9.6875,9.734375,9.609375,1.764914870262146,1160000
1980-06-23,9.65625,9.828125,9.609375,1.7763382196426392,969600
1980-06-24,9.71875,9.921875,9.6875,1.8020408153533936,1184000
1980-06-25,9.875,10.0625,9.875,1.827744483947754,1657600
1980-06-26,10,10.125,9.875,1.8106062412261963,1717600
1980-06-27,9.90625,10.125,9.796875,1.8220326900482178,900000
1980-06-30,9.96875,9.96875,9.5625,1.7477799654006958,1137600
1980-07-01,9.5625,9.71875,9.546875,1.7563484907150269,1413600
1980-07-02,9.609375,9.71875,9.59375,1.7706271409988403,852000
1980-07-03,9.6875,9.9375,9.6875,1.8077523708343506,1129600
1980-07-07,9.890625,9.953125,9.875,1.8106062412261963,1054400
1980-07-08,9.90625,9.9375,9.859375,1.8106062412261963,596800
1980-07-09,9.90625,9.984375,9.84375,1.7991855144500732,506400
1980-07-10,9.828125,9.828125,9.4375,1.7249327898025513,1142400
1980-07-11,9.5,9.6875,9.5,1.759203553199768,1124800
1980-07-14,9.625,9.859375,9.515625,1.7934728860855103,696800
1980-07-15,9.8125,9.859375,9.5,1.7363560199737549,1196000
1980-07-16,9.5,9.65625,9.484375,1.7420668601989746,1690400
1980-07-17,9.59375,9.828125,9.59375,1.7934728860855103,765600
1980-07-18,9.828125,9.953125,9.828125,1.8048964738845825,1496000
1980-07-21,9.875,9.96875,9.828125,1.8163198232650757,1166400
1980-07-22,9.9375,10.03125,9.828125,1.8048964738845825,1088800
1980-07-23,9.875,9.984375,9.828125,1.8163198232650757,599200
1980-07-24,9.9375,10.046875,9.84375,1.8248872756958008,900800
1980-07-25,9.96875,9.96875,9.828125,1.7963294982910156,607200
1980-07-28,9.828125,9.9375,9.75,1.8106062412261963,668800
1980-07-29,9.90625,9.96875,9.875,1.8134636878967285,444800
1980-07-30,9.921875,9.921875,9.46875,1.7306452989578247,1222400
1980-07-31,9.359375,9.359375,9.15625,1.7020865678787231,2797600
1980-08-01,9.3125,9.328125,9.125,1.6792385578155518,1717600
1980-08-04,9.0625,9.0625,8.875,1.6392573118209839,1160000
1980-08-05,8.96875,9.03125,8.90625,1.6306895017623901,2272800
1980-08-06,8.921875,9.171875,8.875,1.6763828992843628,968800
1980-08-07,9.171875,9.5,9.109375,1.7249327898025513,911200
1980-08-08,9.4375,9.53125,9.34375,1.7135095596313477,1420000
1980-08-11,9.375,9.46875,9.34375,1.7249327898025513,533600
1980-08-12,9.40625,9.40625,9.203125,1.6963748931884766,353600
1980-08-13,9.28125,9.28125,9.1875,1.6820954084396362,764800
1980-08-14,9.203125,9.40625,9.171875,1.7135095596313477,907200
1980-08-15,9.375,9.578125,9.375,1.7420668601989746,1021600
1980-08-18,9.53125,9.59375,9.40625,1.7249327898025513,605600
1980-08-19,9.4375,9.46875,9.328125,1.7135095596313477,1587200
1980-08-20,9.375,9.484375,9.34375,1.7192213535308838,768000
1980-08-21,9.40625,9.5,9.390625,1.7363560199737549,604800
1980-08-22,9.5,9.625,9.375,1.7163654565811157,710400
1980-08-25,9.390625,9.546875,9.390625,1.7335010766983032,542400
1980-08-26,9.515625,9.65625,9.515625,1.7420668601989746,451200
1980-08-27,9.53125,9.53125,9.328125,1.704942226409912,901600
1980-08-28,9.328125,9.40625,9.1875,1.6849513053894043,728800
1980-08-29,9.21875,9.21875,9.125,1.6763828992843628,849600
1980-09-02,9.171875,9.21875,9.109375,1.6678158044815063,673600
1980-09-03,9.125,9.28125,9.09375,1.6906625032424927,1685600
1980-09-04,9.25,9.328125,9.09375,1.6706714630126953,1101600
1980-09-05,9.140625,9.171875,9.03125,1.6735272407531738,1144800
1980-09-08,9.15625,9.15625,8.828125,1.6164103746414185,865600
1980-09-09,8.84375,9.03125,8.8125,1.644968867301941,769600
1980-09-10,9,9.1875,9,1.6678158044815063,1097600
1980-09-11,9.125,9.171875,8.953125,1.6621038913726807,1104000
1980-09-12,9.09375,9.09375,9,1.644968867301941,569600
1980-09-15,9,9.203125,9,1.6678158044815063,447200
1980-09-16,9.125,9.3125,9.125,1.687806487083435,1029600
1980-09-17,9.265625,9.4375,9.265625,1.7220768928527832,1147200
1980-09-18,9.421875,9.578125,9.265625,1.6963748931884766,1136800
1980-09-19,9.3125,9.421875,9.3125,1.707798719406128,1568000
1980-09-22,9.34375,9.359375,9.296875,1.707798719406128,1608800
1980-09-23,9.34375,9.421875,9.265625,1.704942226409912,1647200
1980-09-24,9.328125,9.671875,9.3125,1.759203553199768,1235200
1980-09-25,9.625,9.875,9.5625,1.7563484907150269,1373600
1980-09-26,9.609375,9.671875,9.421875,1.7277885675430298,1252800
1980-09-29,9.40625,9.40625,9.28125,1.6992305517196655,838400
1980-09-30,9.3125,9.53125,9.3125,1.7306452989578247,1105600
1980-10-01,9.625,9.96875,9.625,1.8220326900482178,1783200
1980-10-02,9.96875,10.125,9.96875,1.8505909442901611,1861600
1980-10-03,10.21875,10.71875,10.21875,1.930553674697876,2812800
1980-10-06,10.65625,10.96875,10.65625,1.9819600582122803,1643200
1980-10-07,10.84375,10.96875,10.75,1.987670660018921,2023200
1980-10-08,10.875,10.984375,10.875,1.9905261993408203,965600
1980-10-09,10.875,10.875,10.5,1.92198646068573,1553600
1980-10-10,10.578125,10.78125,10.578125,1.950545072555542,1063200
1980-10-13,10.671875,10.96875,10.671875,2.0048060417175293,714400
1980-10-14,11.15625,11.265625,11.15625,2.0504984855651855,1514400
1980-10-15,11.21875,11.40625,11.203125,2.0733466148376465,1076000
1980-10-16,11.34375,11.6875,11.203125,2.0504984855651855,1275200
1980-10-17,11.15625,11.15625,11.03125,2.0219409465789795,1204000
1980-10-20,11.0625,11.375,11.046875,2.079057455062866,949600
1980-10-21,11.375,11.5625,11.328125,2.079057455062866,931200
1980-10-22,11.375,11.46875,11.375,2.0847692489624023,517600
1980-10-23,11.40625,11.40625,10.96875,2.0105178356170654,809600
1980-10-24,11,11.125,10.96875,2.0305087566375732,935200
1980-10-27,11.046875,11.046875,10.875,1.987670660018921,1049600
1980-10-28,10.875,10.875,10.71875,1.987670660018921,812000
1980-10-29,10.84375,10.84375,10.59375,1.9391220808029175,1176000
1980-10-30,10.609375,10.75,10.46875,1.9162747859954834,2040000
1980-10-31,10.484375,10.59375,10.28125,1.927698016166687,1334400
1980-11-03,10.5625,10.90625,10.5625,1.9933828115463257,504000
1980-11-05,11.15625,11.375,11.15625,2.039076566696167,2088800
1980-11-06,11.15625,11.171875,11,2.019085168838501,726400
1980-11-07,11.046875,11.25,11.015625,2.0333642959594727,876800
1980-11-10,11.15625,11.34375,11.15625,2.0733466148376465,493600
1980-11-11,11.46875,11.828125,11.46875,2.130462646484375,1824000
1980-11-12,11.6875,12.125,11.6875,2.2161381244659424,2204000
1980-11-13,12.125,12.296875,12.078125,2.2475526332855225,1907200
1980-11-14,12.296875,12.46875,12.296875,2.2504091262817383,1081600
1980-11-17,12.3125,12.6875,12.15625,2.3189496994018555,1558400
1980-11-18,12.796875,13.03125,12.796875,2.3760664463043213,1296000
1980-11-19,13,13.25,12.765625,2.341796875,1108800
1980-11-20,12.8125,13.046875,12.8125,2.3674988746643066,997600
1980-11-21,12.953125,13.078125,12.890625,2.3874900341033936,712800
1980-11-24,13.0625,13.09375,12.875,2.3846333026885986,834400
1980-11-25,13.046875,13.34375,12.953125,2.3874900341033936,1129600
1980-11-26,13.96875,14.6875,13.96875,2.6388041973114014,2124800
1980-11-28,14.4375,14.4375,13.90625,2.6273813247680664,1773600
1980-12-01,14.125,14.125,13.4375,2.4617412090301514,1366400
1980-12-02,13.46875,13.6875,13.25,2.501723051071167,1394400
1980-12-03,13.6875,13.84375,13.390625,2.4960103034973145,1140800
1980-12-04,13.65625,13.65625,13.375,2.444607973098755,1123200
1980-12-05,13.25,13.25,12.765625,2.347508192062378,1958400
1980-12-08,12.703125,12.703125,12.375,2.3189496994018555,1555200
1980-12-09,12.6875,12.84375,12.46875,2.3160934448242188,1350400
1980-12-10,12.671875,12.9375,12.125,2.2161381244659424,1192000
1980-12-11,12.125,12.21875,11.875,2.2161381244659424,1661600
1980-12-12,12.15625,12.46875,12.15625,2.2446980476379395,1295200
1980-12-15,12.28125,12.484375,12.265625,2.2475526332855225,582400
1980-12-16,12.296875,12.8125,12.25,2.341796875,1232800
1980-12-17,12.8125,13.3125,12.8125,2.4331843852996826,1080800
1980-12-18,13.3125,13.5,13.125,2.3989126682281494,3237600
1980-12-19,13.125,13.296875,13,2.3874900341033936,688000
1980-12-22,13.0625,13.25,13,2.404625177383423,972000
1980-12-23,13.15625,13.15625,12.890625,2.3617873191833496,2247200
1980-12-24,12.875,12.875,12.5,2.290391206741333,1132000
1980-12-26,12.53125,12.625,12.515625,2.3075249195098877,175200
1980-12-29,12.625,12.71875,12.5,2.2932469844818115,748000
1980-12-30,12.546875,12.5625,12.390625,2.276111364364624,624800
1980-12-31,12.4375,12.4375,12.25,2.27325701713562,529600
1981-01-02,12.421875,12.421875,12.1875,2.267543315887451,329600
1981-01-05,12.46875,12.625,12.46875,2.304670810699463,1220000
1981-01-06,12.609375,12.6875,12.21875,2.2561206817626953,1285600
1981-01-07,12.15625,12.15625,11.953125,2.204716205596924,1818400
1981-01-08,12.046875,12.046875,11.5,2.136173963546753,1088800
1981-01-09,11.6875,11.859375,11.5,2.1590213775634766,1168800
1981-01-12,11.859375,12.015625,11.859375,2.181868076324463,913600
1981-01-13,11.9375,11.953125,11.75,2.181868076324463,2155200
1981-01-14,12.03125,12.34375,12.03125,2.238986015319824,1932800
1981-01-15,12.25,12.6875,12.203125,2.301813840866089,925600
1981-01-16,12.71875,12.9375,12.71875,2.364643096923828,2078400
1981-01-19,12.921875,12.921875,12.703125,2.327516555786133,694400
1981-01-20,12.734375,12.84375,12.1875,2.2275612354278564,857600
1981-01-21,12.1875,12.28125,12.03125,2.213282585144043,1123200
1981-01-22,12.109375,12.1875,11.875,2.170444965362549,816800
1981-01-23,11.9375,12.0625,11.9375,2.187580108642578,622400
1981-01-26,11.9375,11.9375,11.703125,2.139030933380127,811200
1981-01-27,11.703125,12.03125,11.65625,2.193291187286377,1186400
