Date,Open,High,Low,Close,Volume
1999-11-01,167.5,200,150,183.75,843490
1999-12-01,192.5,345,188.75,282.5,771290
2000-01-01,272.5,1565,257.5,937.5,3978080
2000-02-01,971.875,1390,900,1174.375,1644460
2000-03-01,1202.5,1530,797.5,850,1115300
2000-04-01,863.125,970,450,800,942410
2000-05-01,846.875,875,380,460,1318410
2000-06-01,476.25,646.25,462.5,625,555350
2000-07-01,620,716.25,500,500.625,429140
2000-08-01,502.5,530,360,447.5,747540
2000-09-01,444.375,618.75,367.5,372.5,2306330
2000-10-01,381.25,391.25,231.25,239.375,888080
2000-11-01,240.625,255,104.375,118.125,758920
2000-12-01,121.875,176.25,91.25,146.875,837740
2001-01-01,151.875,330,145.625,266.25,1834300
2001-02-01,268.75,273.4375,150,157.5,569670
2001-03-01,153.125,163.125,125,143.125,596180
2001-04-01,142.8125,215,128.75,202,885430
2001-05-01,201.10000610351562,380,198,332.3999938964844,2663910
2001-06-01,358.3999938964844,359.8999938964844,167.5,215.3000030517578,1771790
2001-07-01,213,222.6999969482422,111,124.80000305175781,1646500
2001-08-01,125.5999984741211,140,92.5,99.69999694824219,819790
2001-09-01,100.19999694824219,114,60.099998474121094,96.19999694824219,784020
2001-10-01,96.80000305175781,107,71.9000015258789,83,793990
2001-11-01,86,101.9000015258789,82,86.5,580290
2001-12-01,86.5999984741211,92.5,75,87.4000015258789,463650
2002-01-01,88.30000305175781,131,85,98.0999984741211,2055490
2002-02-01,99,115.30000305175781,82.5999984741211,86.5999984741211,733110
2002-03-01,86.9000015258789,109.5,85.5,103.69999694824219,470400
2002-04-01,102.5,125.80000305175781,100.69999694824219,104.5999984741211,840230
2002-05-01,105.5,112.80000305175781,85.4000015258789,86.5,395220
2002-06-01,86.69999694824219,88.69999694824219,66.0999984741211,79.0999984741211,442470
2002-07-01,80,80,40.400001525878906,55.099998474121094,430080
2002-08-01,53.900001525878906,68.19999694824219,46.20000076293945,58.79999923706055,294170
2002-09-01,58.900001525878906,63,47.5,47.79999923706055,222280
2002-10-01,49,68.19999694824219,33.900001525878906,62.79999923706055,408410
2002-11-01,62.79999923706055,73,50.5,70.0999984741211,332190
2002-12-01,70.5,71.80000305175781,42.599998474121094,44.900001525878906,336550
2003-01-01,46.099998474121094,63.400001525878906,40.400001525878906,51.29999923706055,1111280
2003-02-01,51.400001525878906,58.5,46,53.5,678300
2003-03-01,54.70000076293945,55,47.5,50.599998474121094,349030
