Date,Open,High,Low,Close,Volume
2020-07-10,137790,206910,108000,114930,369
2020-07-13,116910,123273,110430,111690,98
2020-07-14,106380,108900,99000,104310,52
2020-07-15,104580,107280,99000,101700,19
2020-07-16,97920,101700,94590,95220,16
2020-07-17,94500,98370,93600,94590,12
2020-07-20,93600,96750,91872,93420,15
2020-07-21,93960,95940,87300,88200,29
2020-07-22,86490,86490,77130,78300,28
2020-07-23,76950,78300,72810,74970,20
2020-07-24,70830,74070,68400,72000,16
2020-07-27,72900,76770,69210,70110,11
2020-07-28,70740,77220,70560,75600,9
2020-07-29,75600,85500,75600,83250,12
2020-07-30,86220,86220,78300,79200,9
2020-07-31,79740,83502,78120,78660,4
2020-08-03,80190,83250,78390,78570,7
2020-08-04,80820,86130,78750,79650,10
2020-08-05,80100,82710,78579,78840,6
2020-08-06,78930,80910,77400,80370,6
2020-08-07,78480,80370,78030,78390,4
2020-08-10,77760,79875,75600,79380,4
2020-08-11,78210,79200,65070,76140,36
2020-08-12,72360,76320,72090,75150,5
2020-08-13,74700,76320,73170,75600,5
2020-08-14,76230,76977,72360,76950,5
2020-08-17,76950,77850,74430,77220,5
2020-08-18,76320,78741,73620,78030,7
2020-08-19,78750,81450,78165,80055,5
2020-08-20,81000,81810,80280,81450,8
2020-08-21,82530,82710,78300,81810,6
2020-08-24,81450,81450,78570,80640,5
2020-08-25,80370,81000,79200,80640,5
2020-08-26,79830,79830,75690,76500,10
2020-08-27,80640,82260,59940,69210,68
2020-08-28,67446,70830,64980,66150,5
2020-08-31,66510,69120,63000,64080,7
2020-09-01,64170,67950,63180,65160,10
2020-09-02,65160,68580,63000,64530,6
2020-09-03,64620,67410,63090,63630,3
2020-09-04,63630,64800,58680,61560,7
2020-09-08,61560,61830,58770,60030,3
2020-09-09,60390,63450,59850,60120,3
2020-09-10,59760,82800,59760,74880,182
2020-09-11,74160,84240,73800,73800,122
2020-09-14,73800,75528,67932,69750,13
2020-09-15,67410,71100,66600,67770,5
2020-09-16,68220,70200,67050,69390,7
2020-09-17,70560,70560,67860,67860,3
2020-09-18,67860,70650,67140,67500,5
2020-09-21,66600,68400,63990,64440,7
2020-09-22,63900,66240,63270,63450,4
2020-09-23,63180,65250,62550,63090,3
2020-09-24,62550,62820,59760,61380,2
2020-09-25,60570,64350,60210,61740,2
2020-09-28,64242,64242,61920,62820,1
2020-09-29,60750,63225,60300,62190,4
2020-09-30,62010,63720,60840,62910,2
2020-10-01,62640,66060,61380,64170,5
2020-10-02,64350,64800,61470,63720,4
2020-10-05,64170,64800,62550,64080,3
2020-10-06,63450,66060,62622,63630,9
2020-10-07,63900,65700,63090,64350,5
2020-10-08,65430,66870,63900,65250,6
2020-10-09,65880,66969,63180,63180,7
2020-10-12,64170,64260,62550,62550,3
2020-10-13,63720,64755,62640,62730,3
2020-10-14,63000,64890,63000,64440,2
2020-10-15,63720,64800,63000,63180,3
2020-10-16,63900,65160,63180,63180,4
2020-10-19,64170,64170,61200,62100,3
2020-10-20,62010,70290,61290,67500,43
2020-10-21,66375,68760,65700,65700,4
2020-10-22,65700,69030,65295,69030,12
2020-10-23,66780,71910,66060,68040,19
2020-10-26,69435,71703,66870,68850,14
2020-10-27,67770,71820,67770,68040,13
2020-10-28,67050,69561,65520,66060,15
2020-10-29,66240,67950,63450,64620,27
2020-10-30,63990,66150,61380,62460,15
2020-11-02,63270,64350,61830,62550,8
2020-11-03,61650,63990,60930,62010,6
2020-11-04,62469,63900,61200,61200,4
2020-11-05,61290,63270,61200,61290,5
2020-11-06,61110,63810,61110,62100,5
2020-11-09,63810,65250,62370,62370,3
2020-11-10,62991,63000,60930,61020,1
2020-11-11,61335,62910,61200,62550,1
2020-11-12,63000,63000,60840,60840,2
2020-11-13,60930,62748,60840,61785,5
2020-11-16,61893,65700,61020,63090,12
2020-11-17,64350,68850,62370,68850,18
2020-11-18,67860,68004,64800,64800,5
2020-11-19,65340,65700,63900,64170,3
2020-11-20,64917,66510,63270,63900,6
2020-11-23,63990,66960,63990,65790,7
2020-11-24,66420,73260,65250,72900,15
2020-11-25,74070,74610,67500,68670,19
2020-11-27,69660,79200,69660,76320,18
2020-11-30,78750,79659,73890,76590,15
2020-12-01,80262,80262,76590,77490,7
2020-12-02,76590,76725,71640,75870,16
2020-12-03,79290,79470,69930,72450,23
2020-12-04,72810,74250,68040,69570,9
2020-12-07,69300,69300,64890,65430,4
2020-12-08,65250,67320,64350,65700,3
2020-12-09,65160,66312,63900,64260,5
2020-12-10,64656,67230,64395,64530,9
2020-12-11,64440,67410,64440,65160,10
2020-12-14,65070,67860,64440,64800,14
2020-12-15,64512,68400,64512,68040,15
2020-12-16,67500,71100,66960,69300,18
2020-12-17,69840,71100,68310,68670,20
2020-12-18,71460,74520,70839,70920,10
2020-12-21,69750,74520,66609,73350,16
2020-12-22,73350,73350,69219,69390,17
2020-12-23,69840,72900,69840,70290,18
2020-12-24,70290,70290,66240,66510,6
2020-12-28,66690,68670,63225,63540,6
2020-12-29,64260,67500,63504,64890,16
2020-12-30,64710,67410,64710,65790,14
2020-12-31,65880,68940,65250,67860,20
2021-01-04,67410,67410,64170,64890,23
2021-01-05,65970,68400,64800,66780,20
2021-01-06,67680,69300,65700,66780,14
2021-01-07,67410,68400,65520,65520,14
2021-01-08,65520,67095,64350,64890,18
2021-01-11,64890,68220,64800,66600,16
2021-01-12,66600,76410,66600,74250,10
2021-01-13,74340,74340,71190,71190,4
2021-01-14,73890,73890,70200,70650,4
2021-01-15,70560,70830,66690,67770,15
2021-01-19,68400,70200,66330,67320,17
2021-01-20,67680,70650,66870,69210,9
2021-01-21,69570,70056,65790,66510,9
2021-01-22,66510,68400,66060,68040,15
2021-01-25,69120,71460,67050,70110,29
2021-01-26,71730,79200,71415,78120,37
2021-01-27,76950,76950,69390,71100,20
2021-01-28,70650,76500,70650,75600,9
2021-01-29,73710,75780,72900,72900,6
2021-02-01,76320,94320,74700,79650,91
2021-02-02,80010,81900,72000,74070,17
2021-02-03,74205,77850,74160,75780,6
2021-02-04,76680,78201,74520,76050,9
2021-02-05,77400,79740,76050,77220,6
2021-02-08,78030,79290,72000,72000,16
2021-02-09,75150,75150,68400,68670,21
2021-02-10,72090,73881,70110,71640,30
2021-02-11,71820,76500,70812,74970,21
2021-02-12,73890,76140,72000,73170,7
2021-02-16,75150,85140,73800,84960,53
2021-02-17,85500,85590,75420,77040,37
2021-02-18,78390,83520,75600,77580,20
2021-02-19,79920,82530,78390,80550,20
2021-02-22,79560,79560,73080,73980,22
2021-02-23,72000,72000,63900,70380,20
2021-02-24,70200,71550,68400,70290,7
2021-02-25,70650,71100,63000,63090,16
2021-02-26,64350,67410,61380,62820,12
2021-03-01,65250,66330,63000,63000,8
2021-03-02,63000,65331,63000,63090,4
2021-03-03,63270,64080,59130,59490,10
2021-03-04,59580,60660,54360,54360,14
2021-03-05,55350,57600,49554,52920,9
2021-03-08,52740,54531,50670,52110,8
2021-03-09,53460,57240,53100,53100,11
2021-03-10,54450,54810,51750,53550,5
2021-03-11,54990,59760,54000,59220,7
2021-03-12,58590,60570,57060,60570,7
2021-03-15,60480,62730,58050,59130,3
2021-03-16,59400,61560,57600,59490,6
2021-03-17,58590,60030,56700,58950,6
