Date,Open,High,Low,Close,Volume
1995-10-16,5.75,5.8125,5.75,1.823586344718933,62000
1995-10-17,5.8125,5.8125,5.8125,1.823586344718933,53200
1995-10-18,5.78125,5.84375,5.78125,1.823586344718933,72000
1995-10-19,5.84375,5.84375,5.8125,1.823586344718933,5200
1995-10-20,5.71875,5.71875,5.65625,1.7745667695999146,16400
1995-10-23,5.46875,5.46875,5.25,1.6471103429794312,34000
1995-10-24,5.1875,5.34375,5.125,1.676523208618164,50400
1995-10-25,5.3125,5.3125,5.21875,1.637306571006775,65600
1995-10-26,5.28125,5.28125,5.1875,1.6275027990341187,63200
1995-10-27,5.125,5.40625,5.125,1.6961315870285034,145200
1995-10-30,5.46875,5.5,5.3125,1.6961315870285034,65200
1995-10-31,5.65625,5.75,5.59375,1.7647614479064941,88400
1995-11-01,5.65625,5.65625,5.5625,1.7549569606781006,45200
1995-11-02,5.5625,5.6875,5.5625,1.7843703031539917,13200
1995-11-03,5.71875,5.71875,5.6875,1.7941744327545166,35200
1995-11-06,5.65625,5.75,5.65625,1.8039774894714355,110000
1995-11-07,5.625,5.6875,5.625,1.7843703031539917,16800
1995-11-08,5.65625,5.65625,5.65625,1.7745667695999146,33600
1995-11-09,5.6875,5.6875,5.59375,1.7549569606781006,12000
1995-11-10,5.5625,5.59375,5.5625,1.7549569606781006,11200
1995-11-13,5.625,5.71875,5.59375,1.7941744327545166,14000
1995-11-14,5.65625,5.71875,5.65625,1.7941744327545166,12800
1995-11-15,5.65625,5.65625,5.625,1.7647614479064941,5600
1995-11-16,5.71875,5.71875,5.6875,1.7843703031539917,4800
1995-11-17,5.6875,5.71875,5.6875,1.7843703031539917,11200
1995-11-20,5.6875,5.75,5.6875,1.7941744327545166,10000
1995-11-21,5.71875,5.71875,5.71875,1.7941744327545166,0
1995-11-22,5.75,5.75,5.75,1.8039774894714355,1600
1995-11-24,5.78125,5.78125,5.78125,1.813783884048462,400
1995-11-27,5.78125,5.8125,5.78125,1.823586344718933,8000
1995-11-28,5.75,5.78125,5.75,1.813783884048462,6800
1995-11-29,5.71875,5.71875,5.71875,1.7941744327545166,9200
1995-11-30,5.75,5.75,5.71875,1.8039774894714355,18800
1995-12-01,5.75,5.84375,5.75,1.823586344718933,25200
1995-12-04,5.875,5.875,5.84375,1.8431950807571411,5600
1995-12-05,5.9375,5.9375,5.875,1.8431950807571411,16400
1995-12-06,5.90625,5.9375,5.875,1.8530009984970093,42400
1995-12-07,5.875,5.875,5.875,1.8431950807571411,4800
1995-12-08,5.875,5.875,5.84375,1.8431950807571411,7600
1995-12-11,5.84375,5.84375,5.8125,1.823586344718933,2800
1995-12-12,5.65625,5.6875,5.625,1.7647614479064941,14400
1995-12-13,5.625,5.625,5.625,1.7647614479064941,6800
1995-12-14,5.625,5.625,5.625,1.7647614479064941,0
1995-12-15,5.71875,5.71875,5.65625,1.7745667695999146,7200
1995-12-18,5.5625,5.5625,5.5,1.7255452871322632,27200
1995-12-19,5.46875,5.53125,5.46875,1.7353488206863403,3200
1995-12-20,5.65625,5.65625,5.625,1.7647614479064941,3600
1995-12-21,5.625,5.625,5.625,1.7647614479064941,0
1995-12-22,5.625,5.6875,5.625,1.7843703031539917,2800
1995-12-26,5.6875,5.6875,5.6875,1.7843703031539917,2400
1995-12-27,5.6875,5.71875,5.6875,1.7941744327545166,2800
1995-12-28,5.6875,5.75,5.6875,1.8039774894714355,2000
1995-12-29,5.75,5.75,5.75,1.8039774894714355,800
1996-01-02,5.75,5.78125,5.71875,1.813783884048462,7600
1996-01-03,5.75,5.875,5.75,1.833390712738037,86800
1996-01-04,5.84375,5.90625,5.84375,1.8530009984970093,5600
1996-01-05,5.90625,5.90625,5.90625,1.8530009984970093,2000
1996-01-08,5.90625,5.9375,5.90625,1.8628038167953491,38800
1996-01-09,5.875,5.90625,5.875,1.8530009984970093,4000
1996-01-10,5.84375,5.84375,5.75,1.8039774894714355,15200
1996-01-11,5.75,5.75,5.6875,1.7941744327545166,4000
1996-01-12,5.71875,5.71875,5.71875,1.7941744327545166,0
1996-01-15,5.78125,5.78125,5.78125,1.813783884048462,1600
1996-01-16,5.8125,5.8125,5.78125,1.823586344718933,7200
1996-01-17,5.90625,5.90625,5.84375,1.8530009984970093,20800
1996-01-18,5.90625,5.9375,5.90625,1.8628038167953491,9600
1996-01-19,5.9375,5.96875,5.9375,1.8726085424423218,48000
1996-01-22,5.96875,5.96875,5.875,1.8431950807571411,15200
1996-01-23,5.875,5.875,5.84375,1.833390712738037,3200
1996-01-24,5.875,5.90625,5.875,1.8530009984970093,7200
1996-01-25,5.90625,5.90625,5.84375,1.833390712738037,8000
1996-01-26,5.78125,5.84375,5.78125,1.833390712738037,12800
1996-01-29,5.875,5.875,5.875,1.8431950807571411,2800
1996-01-30,5.90625,6.03125,5.90625,1.8922160863876343,39600
1996-01-31,6.03125,6.03125,6.03125,1.8922160863876343,24000
1996-02-01,6.03125,6.0625,6.03125,1.8922160863876343,15200
1996-02-02,6.03125,6.0625,6.03125,1.8922160863876343,9200
1996-02-05,5.90625,5.90625,5.84375,1.8530009984970093,12800
1996-02-06,5.9375,5.9375,5.9375,1.8628038167953491,30000
1996-02-07,5.96875,5.96875,5.90625,1.8628038167953491,10400
1996-02-08,5.96875,6,5.9375,1.8824126720428467,5200
1996-02-09,5.9375,5.9375,5.90625,1.8530009984970093,9200
1996-02-12,5.90625,5.96875,5.90625,1.8726085424423218,18000
1996-02-13,5.9375,6,5.9375,1.8824126720428467,14000
1996-02-14,6,6,5.90625,1.8530009984970093,14800
1996-02-15,5.875,5.875,5.875,1.8431950807571411,6400
1996-02-16,5.8125,5.8125,5.78125,1.823586344718933,13200
1996-02-20,5.71875,5.71875,5.59375,1.7549569606781006,10400
1996-02-21,5.59375,5.59375,5.59375,1.7549569606781006,0
1996-02-22,5.65625,5.65625,5.625,1.7745667695999146,63600
1996-02-23,5.65625,5.65625,5.65625,1.7745667695999146,2000
1996-02-26,5.65625,5.65625,5.59375,1.7647614479064941,8400
1996-02-27,5.59375,5.65625,5.59375,1.7647614479064941,2400
1996-02-28,5.71875,5.75,5.71875,1.8039774894714355,9200
1996-02-29,5.75,5.75,5.75,1.8039774894714355,0
1996-03-01,5.8125,5.8125,5.8125,1.823586344718933,800
1996-03-04,5.8125,5.875,5.8125,1.8431950807571411,2800
1996-03-05,5.875,5.875,5.875,1.8431950807571411,0
1996-03-06,5.867187976837158,5.9375,5.867187976837158,1.8628038167953491,2000
1996-03-07,5.90625,5.90625,5.875,1.8431950807571411,7200
1996-03-08,5.8125,5.8125,5.625,1.7941744327545166,26800
1996-03-11,5.71875,5.71875,5.6875,1.7843703031539917,5600
1996-03-12,5.71875,5.71875,5.71875,1.7941744327545166,400
1996-03-13,5.75,5.75,5.75,1.8039774894714355,21200
1996-03-14,5.75,5.75,5.75,1.8039774894714355,0
1996-03-15,5.75,5.84375,5.75,1.813783884048462,14400
1996-03-18,5.78125,5.8125,5.78125,1.823586344718933,18800
1996-03-19,5.875,5.875,5.84375,1.833390712738037,4400
1996-03-20,5.84375,5.84375,5.84375,1.833390712738037,2400
1996-03-21,5.90625,5.90625,5.8125,1.823586344718933,6000
1996-03-22,5.8125,5.84375,5.8125,1.833390712738037,12000
1996-03-25,5.875,5.875,5.8125,1.823586344718933,3600
1996-03-26,5.875,5.875,5.875,1.8431950807571411,6000
1996-03-27,5.84375,5.84375,5.75,1.8039774894714355,5200
1996-03-28,5.71875,5.78125,5.71875,1.8039774894714355,8000
1996-03-29,5.78125,5.875,5.78125,1.8431950807571411,11600
1996-04-01,5.875,5.875,5.875,1.8431950807571411,23200
1996-04-02,5.9375,6,5.9375,1.8824126720428467,3200
1996-04-03,6,6,5.8125,1.8726085424423218,124000
1996-04-04,6,6,6,1.8824126720428467,3200
1996-04-08,6,6,6,1.8824126720428467,0
1996-04-09,5.96875,5.96875,5.9375,1.8628038167953491,3200
1996-04-10,5.9375,5.9375,5.9375,1.8628038167953491,4400
1996-04-11,5.9375,5.9375,5.9375,1.8628038167953491,0
1996-04-12,5.90625,5.90625,5.90625,1.8530009984970093,5200
1996-04-15,5.90625,5.9375,5.90625,1.8628038167953491,18000
1996-04-16,6,6.03125,5.96875,1.8726085424423218,16800
1996-04-17,5.96875,5.96875,5.96875,1.8726085424423218,1600
1996-04-18,5.96875,5.96875,5.96875,1.8726085424423218,0
1996-04-19,5.9375,6.0625,5.9375,1.9020214080810547,18000
1996-04-22,6,6.0625,6,1.9020214080810547,2400
1996-04-23,6,6,6,1.8824126720428467,2800
1996-04-24,5.9375,5.9375,5.9375,1.8628038167953491,4800
1996-04-25,5.90625,5.96875,5.90625,1.8726085424423218,8000
1996-04-26,5.96875,5.96875,5.96875,1.8726085424423218,2400
1996-04-29,6.03125,6.03125,6,1.8824126720428467,4400
1996-04-30,5.96875,5.96875,5.9375,1.8726085424423218,4800
1996-05-01,5.96875,5.96875,5.9375,1.8628038167953491,6000
1996-05-02,5.9375,5.9375,5.9375,1.8628038167953491,6000
1996-05-03,5.9375,5.9375,5.90625,1.8530009984970093,2000
1996-05-06,5.90625,5.90625,5.90625,1.8530009984970093,5600
1996-05-07,5.9375,5.9375,5.9375,1.8628038167953491,2800
1996-05-08,5.9375,5.9375,5.9375,1.8628038167953491,0
1996-05-09,5.90625,5.9375,5.90625,1.8628038167953491,1600
1996-05-10,5.90625,6,5.90625,1.8824126720428467,4400
1996-05-13,5.96875,6.0625,5.96875,1.9020214080810547,14400
1996-05-14,6.0625,6.09375,6.0625,1.9118250608444214,9600
1996-05-15,6.125,6.1875,6.0625,1.9020214080810547,15600
1996-05-16,6.03125,6.03125,6.03125,1.8922160863876343,7600
1996-05-17,6.09375,6.09375,6,1.8824126720428467,3600
1996-05-20,5.9375,6,5.9375,1.8824126720428467,4400
1996-05-21,6.03125,6.0625,6.03125,1.9020214080810547,4800
1996-05-22,6.09375,6.09375,6.09375,1.9118250608444214,5600
1996-05-23,6.0625,6.0625,6,1.9020214080810547,27200
1996-05-24,6,6.03125,6,1.8922160863876343,9600
1996-05-28,6.0625,6.0625,5.9375,1.8824126720428467,21600
1996-05-29,5.9375,5.9375,5.9375,1.8628038167953491,9600
1996-05-30,6,6,5.9375,1.8726085424423218,5600
1996-05-31,6,6,6,1.8824126720428467,3600
1996-06-03,5.9375,5.96875,5.9375,1.8726085424423218,1200
1996-06-04,5.9375,5.9375,5.90625,1.8530009984970093,2400
1996-06-05,5.84375,5.90625,5.84375,1.8530009984970093,7200
1996-06-06,5.90625,5.90625,5.90625,1.8530009984970093,0
1996-06-07,5.90625,5.90625,5.90625,1.8530009984970093,0
1996-06-10,5.84375,5.875,5.84375,1.8431950807571411,2400
1996-06-11,5.84375,5.84375,5.84375,1.833390712738037,2800
1996-06-12,5.84375,5.875,5.84375,1.833390712738037,11600
1996-06-13,5.875,5.875,5.84375,1.833390712738037,8000
1996-06-14,5.875,5.90625,5.875,1.8530009984970093,10400
1996-06-17,5.875,5.875,5.875,1.8431950807571411,10800
1996-06-18,5.90625,5.90625,5.875,1.8431950807571411,9200
1996-06-19,5.90625,5.9375,5.90625,1.8628038167953491,6400
1996-06-20,5.9375,5.9375,5.9375,1.8628038167953491,0
1996-06-21,5.9375,5.9375,5.9375,1.8628038167953491,0
1996-06-24,5.96875,6.0625,5.96875,1.8824126720428467,18400
1996-06-25,6.03125,6.03125,6.03125,1.8922160863876343,400
