Date,Open,High,Low,Close,Volume
1993-06-29,21.25,22.125,21.125,5.692515850067139,34346800
1993-06-30,22,23,21.625,5.6599860191345215,9060600
1993-07-01,21.375,21.625,21,5.529871940612793,4273100
1993-07-02,21.125,21.25,20.75,5.497344017028809,2504500
1993-07-06,20.875,21,20.625,5.3997578620910645,2030400
1993-07-07,20.875,21,20.625,5.432286262512207,2447800
1993-07-08,20.875,21,20.625,5.3997578620910645,1115800
1993-07-09,20.75,20.75,20.25,5.269641876220703,1615700
1993-07-12,20.25,20.625,20.25,5.302170276641846,2075000
1993-07-13,20.375,20.5,20.25,5.334700107574463,1914700
1993-07-14,20.5,20.5,19.875,5.269641876220703,3669300
1993-07-15,20.125,20.375,19.875,5.172057151794434,2585400
1993-07-16,19.875,20.125,19.125,5.0744709968566895,2213200
1993-07-19,19.25,19.375,18.875,4.944357395172119,2702800
1993-07-20,19.25,19.625,19.25,5.0744709968566895,1508100
1993-07-21,19.5,19.625,19.375,5.0744709968566895,936000
1993-07-22,19.5,19.625,19.375,5.10699987411499,813800
1993-07-23,19.625,19.75,19.5,5.10699987411499,720300
1993-07-26,20,20.125,19.875,5.204586505889893,1553700
1993-07-27,20.125,20.375,20,5.302170276641846,1567100
1993-07-28,20.5,20.75,20.375,5.367228984832764,1318200
1993-07-29,20.625,20.75,20.5,5.367228984832764,611000
1993-07-30,20.625,20.625,20.25,5.269641876220703,988600
1993-08-02,20.375,20.625,20.375,5.334700107574463,1671000
1993-08-03,20.5,20.625,20.125,5.302170276641846,971500
1993-08-04,20.25,20.5,20.125,5.2371134757995605,969800
1993-08-05,20.375,20.375,20,5.204586505889893,825000
1993-08-06,20,20.125,19.625,5.172057151794434,1318700
1993-08-09,20,20.5,20,5.269641876220703,3171200
1993-08-10,20.5,20.75,20.375,5.302170276641846,2129700
1993-08-11,20.5,20.625,20.5,5.367228984832764,1326200
1993-08-12,20.625,21,20.5,5.432286262512207,1160100
1993-08-13,21,21.625,21,5.627457618713379,1763600
1993-08-16,21.625,22.125,21.5,5.725042343139648,1182400
1993-08-17,21.875,22.875,21.875,5.952744960784912,1699800
1993-08-18,22.875,23.25,22.5,5.8876848220825195,2246300
1993-08-19,22.75,22.75,21.875,5.725042343139648,1280300
1993-08-20,21.875,22.625,21.75,5.8876848220825195,732500
1993-08-23,22.625,22.625,22.375,5.8876848220825195,443600
1993-08-24,22.625,23,22.125,5.985273838043213,650900
1993-08-25,23.25,23.75,23.25,6.050330638885498,2541300
1993-08-26,23.375,24,23.25,6.24550199508667,1243500
1993-08-27,23.875,24,23.375,6.147915363311768,675900
